x,y,z,intensity,return_num,classification
282000.14,5660000.87,31.71,35170,1,2
282000.14,5660001.25,31.75,37092,1,2
282000.14,5660000.0600000005,31.75,27764,1,20
282000.14,5660000.49,31.76,35913,1,20
282000.14,5660001.62,31.740000000000002,34952,1,20
282000.14,5660002.03,31.740000000000002,36240,1,20
282000.14,5660002.44,31.720000000000002,31631,1,2
282000.14,5660002.8100000005,31.71,34296,1,2
282000.14,5660003.18,31.75,33379,1,20
282000.14,5660003.58,31.720000000000002,32527,1,2
282000.14,5660003.94,31.73,30735,1,2
282000.14,5660004.33,31.73,31718,1,2
282000.14,5660004.74,31.76,32767,1,20
282000.16000000003,5660000.07,31.69,28420,1,2
282000.16000000003,5660000.37,31.73,36437,1,2
282000.57,5660000.15,31.7,33422,1,2
282001.01,5660000.28,31.71,33051,1,2
282001.37,5660000.04,31.71,32090,1,2
282001.37,5660000.36,31.71,26629,1,2
282001.67,5660000.17,31.7,30146,1,2
282000.16000000003,5660000.7,31.71,36808,1,2
282000.57,5660000.46,31.720000000000002,36983,1,2
282000.57,5660000.78,31.69,33859,1,2
282000.16000000003,5660001.03,31.740000000000002,37704,1,2
282000.16000000003,5660001.34,31.740000000000002,37158,1,2
282000.57,5660001.12,31.720000000000002,35869,1,2
282001.0,5660000.62,31.71,33466,1,2
282001.67,5660000.48,31.720000000000002,28748,1,2
282001.37,5660000.68,31.68,28988,1,2
282001.67,5660000.8,31.71,31631,1,2
282001.0,5660000.93,31.720000000000002,31303,1,2
282001.0,5660001.23,31.71,32527,1,2
282001.37,5660001.02,31.720000000000002,25121,1,2
282001.37,5660001.33,31.71,29752,1,2
282001.67,5660001.14,31.69,32614,1,2
282001.99,5660000.08,31.71,30779,1,2
282002.38,5660000.28,31.68,29468,1,2
282002.73,5660000.2,31.71,29075,1,2
282003.04,5660000.28,31.68,26760,1,2
282003.4,5660000.11,31.73,27655,1,2
282001.99,5660000.38,31.69,33029,1,2
282001.99,5660000.7,31.71,32002,1,2
282002.38,5660000.66,31.68,27743,1,2
282001.99,5660001.04,31.7,28136,1,2
282001.99,5660001.37,31.7,27044,1,2
282002.38,5660001.3100000005,31.66,20381,1,2
282002.73,5660001.12,31.7,28267,1,2
282002.73,5660000.52,31.67,25951,1,2
282003.04,5660000.57,31.68,28354,1,2
282003.39,5660000.44,31.71,26301,1,2
282003.39,5660000.77,31.71,23527,1,2
282003.04,5660000.89,31.7,31697,1,2
282003.39,5660001.09,31.7,25777,1,2
282002.38,5660000.93,31.8,37027,1,20
282002.73,5660000.84,31.740000000000002,26672,1,20
282003.04,5660001.22,31.73,26170,1,20
282003.78,5660000.11,31.68,21145,1,2
282004.37,5660000.1,31.67,22391,1,2
282004.74,5660000.11,31.720000000000002,31172,1,2
282003.78,5660000.46,31.67,20796,1,2
282004.09,5660000.59,31.720000000000002,20774,1,2
282004.37,5660000.39,31.69,21866,1,2
282004.37,5660000.73,31.7,27153,1,2
282004.09,5660000.9,31.71,22216,1,2
282003.78,5660001.1,31.71,23898,1,2
